Dataset Name,Data Type,HPC Absolute Path,Description,Usage in Manuscript
Ensemble Performance Evaluation Metrics,Fitted Statistics,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/output_corrected/combined/nse_comparison_report_filtered.csv,"Comparative statistics (NSE, Energy performance) between PT and Ensemble forcing configurations.",Populates Table 1 of the ensemble manuscript.
Input Calibration Datasets (Pickles and CSVs),Input Datasets Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/input_data/,"Zipped archive containing preprocessed daily forcing time series (*_data.csv, *_gs_data.csv) and parameter files (*_params.pickle) for all 17 sites.",Required input boundary conditions to run MCMC parameter estimations.
ENSO Anomalies Calibrated Traits,Fitted Parameters Summary,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/ENSO_experiment_updated/enso_results_summary.csv,"Parameter calibrations (swilt, s*, Emax) representing vegetation adaptation shifts under El Niño and La Niña meteorological conditions.",Evaluates parameter shift dynamics across contrasting ENSO climate phases.
Baseline Paper Bundle Archive (FINAL_PAPER_BUNDLE.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/FINAL_PAPER_BUNDLE/,"Zipped archive containing all LaTeX files, intermediate build logs, and high-resolution figures for the baseline PT study.",Reference LaTeX compilation tree for baseline paper.
Ensemble Paper Bundle Archive (FINAL_PAPER_BUNDLE_ENSEMBLE.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/,"Zipped archive containing LaTeX source, compiled output tables, and diagnostic plots for the Top-5 Ensemble study.",Reference LaTeX compilation tree for ensemble paper.
ENSO Experiment Branch Archive (ENSO_experiment_updated.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/ENSO_experiment_updated/,"Zipped archive of the entire ENSO sub-study, including individual site calibration results, plotting scripts, and the final report.",Reference directory containing all data and figures for El Niño vs. La Niña parameter analyses.
Sapflux Australia Dataset & Analysis (Sapflux_australia.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/Sapflux_australia/,"Zipped archive containing Cow Bay and Robson Creek sap flux, soil water potentials, TERN validation data, and processing notebooks.",Validation datasets used to verify hydraulic thresholds and sap velocity shifts.
Smart PET Ensemble Formulations & Reports (PET_Results_SmartEnsemble.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/PET_Results_SmartEnsemble/,"Zipped archive containing potential evapotranspiration (PET) evaluations across 41 OzFlux sites, including daily timeseries comparisons, performance matrices, and the compiled cross-validation PDF report.",Comparative baseline supporting the selection of Top-5 consensus PET forcings.
OzFlux Footprint Analysis Project (OzFlux_Footprint_Analysis.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/PyFluxPro/OzFlux-footprint/,"Zipped archive containing footprint processing scripts, slurm queue files, GUI utilities, and site-by-site NetCDF footprint climatologies.",Footprint analysis validation to define the representativeness and fetch of eddy-covariance data.
PyFluxPro Annual Site Diagnostic Plots (PyFluxPro_Plots.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/PyFluxPro/plots/,Zipped archive containing 357 annual site-level quality-control reports in PDF format generated via PyFluxPro.,Quality control verification for the long-term eddy-covariance forcing datasets.
L6 Site Metadata Reports (L6_Site_Metadata_Reports.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/site_metadata_reports/,"Zipped archive containing 90 PDF and LaTeX files detailing variables, instrumentations, and site-specific metadata for the L6 quality control levels.",Metadata documentation backing the physical parameters used for each site calibration.
L6 Yearly Split Site Diagnostic Reports (Yearly_Split_Plots.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Yearly_Split_Data/automated_plots/plots_reports/,Zipped archive containing 351 annual validation and data compliance reports in PDF format for the L6 dataset splits.,Data check reports verifying seasonal cycles and annual splits for model inputs.
Flux Tower Soil Depth Diagrams (FluxTower_Diagrams.zip),Project Bundle Zip,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/soil_depth_plots/FluxTower_Diagrams/,Zipped archive containing the site-specific soil moisture sensor placement diagrams and report generator code.,Documentation of soil profile sensor configurations to calibrate depth-weighted soil moisture indices.
